Season,Competition,Matchday,Date,Venue,For,Opponent,Result,Position,Minute,At_score,Type_of_goal,Goal_assist
,,Serie A,11,03/11/24,H,,(2.),,Venezia(18.),1:0,CF,65'
,,Serie A,18,28/12/24,A,,(3.),,Cagliari(18.),0:3,CF,71'
,,Supercoppa Italiana,Finale,06/01/25,H,,,AC Milan,2:3,CF,45'+1,1:0
,,Serie A,19,15/01/25,H,,(3.),,Bologna(7.),2:2,CF,45'+1
,,Serie A,21,19/01/25,H,,(2.),,FC Empoli(14.),3:1,CF,55'
,,Champions League,Gruppenphase,22/01/25,A,,,Sparta Prague,0:1,SS,12',0:1
,,Serie A,22,26/01/25,A,,(2.),,Lecce(17.),0:4,CF,39'
,,Champions League,Gruppenphase,29/01/25,H,,,Monaco,3:0,SS,4',1:0
,16'2:0Right-footed shotNicolò Barella,16',2:0,Right-footed shot,Nicolò Barella,,,,,,,
,67'3:0Left-footed shot,67',3:0,Left-footed shot,,,,,,,,
,,Serie A,26,22/02/25,H,,(2.),,Genoa(11.),1:0,CF,78'
,,Champions League,Achtelfinale,05/03/25,A,,,Feyenoord,0:2,SS,50',0:2
,,Serie A,29,16/03/25,A,,(1.),,Atalanta(3.),0:2,SS,87'
,,Champions League,Viertelfinale,08/04/25,A,,,Bayern Munich,1:2,SS,38',0:1
,,Serie A,32,12/04/25,H,,(1.),,Cagliari(15.),3:1,CF,26'
,,Champions League,Viertelfinale,16/04/25,H,,,Bayern Munich,2:2,SS,58',1:1
,,Champions League,Halbfinale,06/05/25,H,,,Barcelona,4:3AET,SS,21',1:0
,,Club World Cup,Gruppenphase,18/06/25,A,,,Monterrey,1:1,CF,42',1:1
,,Club World Cup,Gruppenphase,21/06/25,H,,,Urawa Reds,2:1,CF,78',1:1
,Season 25/26,,,,,,,,,,,
,,Serie A,1,25/08/25,H,,(1.),,Torino(12.),5:0,CF,52'
,,Serie A,5,27/09/25,A,,(10.),,Cagliari(8.),0:2,CF,9'
,,Champions League,Gruppenphase,30/09/25,H,,,Slavia Praha,3:0,CF,30',1:0
,65'3:0Left-footed shotAlessandro Bastoni,65',3:0,Left-footed shot,Alessandro Bastoni,,,,,,,
,,Serie A,6,04/10/25,H,,(5.),,Cremonese(7.),4:1,CF,6'
,,Champions League,Gruppenphase,21/10/25,A,,,Union SG,0:4,CF,45'+1,0:2
,,Champions League,Gruppenphase,05/11/25,H,,,Kairat Almaty,2:1,CF,45',1:0
,,Serie A,11,09/11/25,H,,(2.),,Lazio(8.),2:0,CF,3'
